name,state,url,location,summit_elevation,base_elevation,vertical_drop,skiable_area,number_of_trails,number_of_lifts,annual_snowfall,website,coordinates,owner_operator,opening_year,status
Titcomb Mountain,Maine,https://en.wikipedia.org/wiki/Titcomb_Mountain,"Farmington , Maine , United States",750,400,,45 acres (18 ha),16,,85 inches (220 cm)/year,http://www.titcombmountain.com/,44°39′0″N 70°10′15″W ﻿ / ﻿ 44.65000°N 70.17083°W ﻿ / 44.65000; -70.17083,,,
Berkshire East Ski Resort,Massachusetts,https://en.wikipedia.org/wiki/Berkshire_East_Ski_Resort,"Charlemont / Hawley , Massachusetts , U.S.","1,840 ft (561 m)",520 ft (158 m),"1,180 ft (360 m)",,45,,110 in (279 cm),https://berkshireeast.com/,42°37′15″N 72°52′37″W ﻿ / ﻿ 42.62083°N 72.87694°W ﻿ / 42.62083; -72.87694,,,Active
Blue Hills Ski Area,Massachusetts,https://en.wikipedia.org/wiki/Blue_Hills_Ski_Area,"Canton , MA",,,309 feet (94 m),"60 acres (240,000 m 2 )",8,,,https://www.bluehillsboston.com/,42°12′55″N 71°07′09″W ﻿ / ﻿ 42.21528°N 71.11917°W ﻿ / 42.21528; -71.11917,,,
Bousquet Ski Area,Massachusetts,https://en.wikipedia.org/wiki/Bousquet_Ski_Area,"101 Dan Fox Dr Pittsfield, Massachusetts , 01201","1,818 ft (554 m)","1,068 ft (326 m)",750 ft (230 m),200 acres (81 ha),24,,,https://bousquetmountain.com/,42°25′02″N 73°16′44″W ﻿ / ﻿ 42.4171°N 73.2788°W ﻿ / 42.4171; -73.2788,Mill Town Capital,,Operating
Butternut,Massachusetts,https://en.wikipedia.org/wiki/Ski_Butternut,"Great Barrington , Massachusetts , US","1,800 ft (550 m)",820 ft (250 m),"1,000 ft (300 m)",,22,,115 in (292 cm),http://www.skibutternut.com,42°10′41″N 73°19′01″W ﻿ / ﻿ 42.17806°N 73.31694°W ﻿ / 42.17806; -73.31694,,,
Easton Ski Area,Massachusetts,https://en.wikipedia.org/wiki/Easton_Ski_Area,"Deerfield , Massachusetts , US",,,,,,,,http://www.eaglebrook.org/,42.5387°N 72.5938°W,,,
Jiminy Peak,Massachusetts,https://en.wikipedia.org/wiki/Jiminy_Peak_(ski_area),"Hancock , Massachusetts , United States","2,375 ft (724 m)","1,245 ft (379 m)","1,150 ft (351 m)",170 acres (0.69 km 2 ),45,,108 in (270 cm),https://www.jiminypeak.com/,42°33′03″N 73°17′27″W ﻿ / ﻿ 42.55083°N 73.29083°W ﻿ / 42.55083; -73.29083,,,
Mount Greylock Ski Club,Massachusetts,https://en.wikipedia.org/w/index.php?title=Mount_Greylock_Ski_Club&action=edit&redlink=1,,,,,,,,,,,,,
Nashoba Valley Ski Area,Massachusetts,https://en.wikipedia.org/wiki/Nashoba_Valley_Ski_Area,"Westford , Massachusetts , US",422 ft,194 ft,240 ft,,17,,,http://www.skinashoba.com/,42°32′31.11″N 71°26′38.77″W ﻿ / ﻿ 42.5419750°N 71.4441028°W ﻿ / 42.5419750; -71.4441028,,,
Otis Ridge,Massachusetts,https://en.wikipedia.org/wiki/Otis_Ridge,"159 Monterey Rd, Otis, Massachusetts","1,490 ft (514 m)","1,025 ft (315 m)",400 ft (122 m),132 acres,11 trails,,,https://otisridge.com/,42°11′47″N 73°05′56″W ﻿ / ﻿ 42.1964°N 73.0988°W ﻿ / 42.1964; -73.0988,,,
Ski Bradford,Massachusetts,https://en.wikipedia.org/wiki/Ski_Bradford,"Bradford , Massachusetts , US",272 feet (83 m),,,"48 acres (190,000 m 2 )",15,,,https://skibradford.com/,42.74361°N 71.05889°W,,,
Ski Ward,Massachusetts,https://en.wikipedia.org/wiki/Ski_Ward,"Shrewsbury, Massachusetts , US",,,220 ft (67 m),,9,,,http://www.skiward.com/,42°18′20″N 71°40′30″W ﻿ / ﻿ 42.30556°N 71.67500°W ﻿ / 42.30556; -71.67500,,,
Wachusett Mountain,Massachusetts,https://en.wikipedia.org/wiki/Wachusett_Mountain_(ski_area),"Princeton , Massachusetts","2,006 ft (611 m)","1,000 ft (305 m)","1,006 ft (307 m)",110 acres (0.45 km 2 ),26,,100 in (250 cm),http://www.wachusett.com,42°29′58″N 71°53′11″W ﻿ / ﻿ 42.49944°N 71.88639°W ﻿ / 42.49944; -71.88639,,,
Abenaki Ski Area,New Hampshire,,,,,,,,,,,,,,
Arrowhead,New Hampshire,https://en.wikipedia.org/wiki/Arrowhead_Recreation_Area,"Claremont, New Hampshire , United States",1080 feet,,,,9,,,http://www.arrowheadnh.com,43°21′46″N 72°20′00″W ﻿ / ﻿ 43.36278°N 72.33333°W ﻿ / 43.36278; -72.33333,,,
Attitash,New Hampshire,https://en.wikipedia.org/wiki/Attitash_Mountain_Resort,"Bartlett , New Hampshire , US",,,"1,750 ft (530 m)",,68 : 29% beginner : 44% intermediate : 27% advanced,,,http://www.attitash.com,44°04′56″N 71°13′47″W ﻿ / ﻿ 44.08222°N 71.22972°W ﻿ / 44.08222; -71.22972,Vail Resorts,,Operating
Black Mountain,New Hampshire,https://en.wikipedia.org/wiki/Black_Mountain_Ski_Area,"Jackson, New Hampshire , U.S.",,,"1,100 ft (340 m)",,"45, plus 15 glades",,,http://www.blackmt.com/,44°10′6″N 71°9′52″W ﻿ / ﻿ 44.16833°N 71.16444°W ﻿ / 44.16833; -71.16444,Black Mountain Cooperative,,Operational (seasonally)
Bretton Woods,New Hampshire,https://en.wikipedia.org/wiki/Bretton_Woods_Mountain_Resort,"Bretton Woods , New Hampshire , USA","3,100 feet (940 m)","1,600 feet (490 m)","1,500 feet (460 m)",468 acres,102 25% Beginner 29% Intermediate 46% Expert,,200 inches (5.1 m),http://brettonwoods.com,44°15′35″N 71°27′44″W ﻿ / ﻿ 44.25972°N 71.46222°W ﻿ / 44.25972; -71.46222,,,
Cannon Mountain,New Hampshire,https://en.wikipedia.org/wiki/Cannon_Mountain_Ski_Area,"Franconia , New Hampshire , U.S.","4,080 ft (1,240 m) Cannon","1,850 ft (560 m) Mittersill","2,230 ft (680 m) Cannon/Mittersill",265 acres (107 ha),"73 trails, plus the Mittersill backcountry area (86 acres; 35 ha) 21% Beginner 47% Intermediate 32% Expert",,160 inches (4.1 m),http://www.cannonmt.com,44°09′28″N 71°41′56″W ﻿ / ﻿ 44.15778°N 71.69889°W ﻿ / 44.15778; -71.69889,,,
Campton Mountain,New Hampshire,,,,,,,,,,,,,,
Cranmore Mountain Resort,New Hampshire,https://en.wikipedia.org/wiki/Cranmore_Mountain_Resort,"North Conway , New Hampshire , US",,,"1,200 ft",,56 - 28% beginner - 44% intermediate - 28% advanced,,,http://www.cranmore.com/,44.05639°N 71.11000°W,,,
Crotched Mountain,New Hampshire,https://en.wikipedia.org/wiki/Crotched_Mountain,"Hillsborough County , New Hampshire, U.S.",,,,,,,,,42°59′54″N 71°52′25″W ﻿ / ﻿ 42.998294108°N 71.873712297°W ﻿ / 42.998294108; -71.873712297,,,
Dartmouth Skiway,New Hampshire,https://en.wikipedia.org/wiki/Dartmouth_Skiway,"Holt's Ledge and Winslow Ledge Lyme , New Hampshire , U.S.","1,943 feet (592 m)",975 feet (297 m),968 feet (295 m),100 acres (40 ha),30 25% Novice 50% Intermediate 25% Expert,,,http://skiway.dartmouth.edu,43°47′12″N 72°26′2″W ﻿ / ﻿ 43.78667°N 72.43389°W ﻿ / 43.78667; -72.43389,,,
Franklin Veterans Memorial Recreation Area,New Hampshire,,,,,,,,,,,,,,
Granite Gorge,New Hampshire,https://en.wikipedia.org/wiki/Granite_Gorge_Ski_Area,"Roxbury , New Hampshire , USA",,,390 feet (120 m),,19 39% Novice 16% Intermediate 48% Expert,,,http://granitegorge.com,42°58′15″N 72°12′44″W ﻿ / ﻿ 42.97083°N 72.21222°W ﻿ / 42.97083; -72.21222,,,Operating
Gunstock Mountain Resort,New Hampshire,https://en.wikipedia.org/wiki/Gunstock_Mountain_Resort,"Gilford , New Hampshire , USA","2,267 feet (691 m)",867 feet (264 m),"1,400 feet (430 m)",,55 12% Novice 61% Intermediate 27% Expert,,,http://www.gunstock.com,43°32′29″N 71°22′03″W ﻿ / ﻿ 43.54139°N 71.36750°W ﻿ / 43.54139; -71.36750,,,
Kanc Rec Area,New Hampshire,,,,,,,,,,,,,,
King Pine,New Hampshire,https://en.wikipedia.org/wiki/King_Pine,"Madison , New Hampshire, US",,,350 ft (110 m),,17 trails – 44% Beginner – 31% Intermediate – 25% Advanced,,,http://www.kingpine.com/,43°52′17″N 71°05′22″W ﻿ / ﻿ 43.87139°N 71.08944°W ﻿ / 43.87139; -71.08944,,,
Loon Mountain,New Hampshire,https://en.wikipedia.org/wiki/Loon_Mountain,,,,,,,,,,44°02′09″N 71°37′17″W ﻿ / ﻿ 44.03597°N 71.62144°W ﻿ / 44.03597; -71.62144,,,
McIntyre Ski Area,New Hampshire,https://en.wikipedia.org/wiki/McIntyre_Ski_Area,"Manchester , New Hampshire , USA",,,200 feet (60 m),,9 90% Beginner 10% Intermediate,,,http://www.mcintyreskiarea.com,43°0′18″N 71°26′24″W ﻿ / ﻿ 43.00500°N 71.44000°W ﻿ / 43.00500; -71.44000,,,
Mount Eustis,New Hampshire,,,,,,,,,,,,,,
Mount Prospect,New Hampshire,https://en.wikipedia.org/wiki/Mount_Prospect_Ski_Tow,"Lancaster, New Hampshire , U.S.",,,300 ft (91 m) (ski tow) 700 ft (210 m) (hike),,"3, plus glades",,,https://www.mountprospectskitow.com,44°27′26″N 71°34′37″W ﻿ / ﻿ 44.4572°N 71.5769°W ﻿ / 44.4572; -71.5769,,,Last operated in 2021
Mount Sunapee Resort,New Hampshire,https://en.wikipedia.org/wiki/Mount_Sunapee_Resort,"Newbury, New Hampshire","2,743 ft (836 m)","1,230 ft (370 m)","1,513 ft (461 m)",230 acres (93 ha),66 26% Beginner 48% Intermediate 26% Expert,,100 inches (250 cm),http://www.mountsunapee.com,43.33056°N 72.08000°W,Vail Resorts,,Operating
Pats Peak,New Hampshire,https://en.wikipedia.org/wiki/Pats_Peak,"Henniker, New Hampshire , U.S.","1,460 ft (450 m)",690 ft (210 m),770 ft (230 m),"103 acres (420,000 m 2 )",28,,,http://www.patspeak.com,43°09′48″N 71°47′45″W ﻿ / ﻿ 43.16333°N 71.79583°W ﻿ / 43.16333; -71.79583,,,
Ragged Mountain,New Hampshire,https://en.wikipedia.org/wiki/Ragged_Mountain_Resort,"Danbury , New Hampshire , U.S.",,,"1,250 feet (380 m)",,57,,,http://raggedmountainresort.com,43°29′04″N 71°50′32″W ﻿ / ﻿ 43.48444°N 71.84222°W ﻿ / 43.48444; -71.84222,,,
Red Hill Ski Club,New Hampshire,,,,,,,,,,,,,,
Storrs Hill,New Hampshire,,,,,,,,,,,,,,
Tenney Mountain Ski Resort,New Hampshire,https://en.wikipedia.org/wiki/Tenney_Mountain_Ski_and_Snowboarding_Area,"Plymouth / Groton , Grafton County, New Hampshire","2,149 ft (655 m)",749 ft (228 m),"1,400 ft (430 m)",110 acres (45 ha),45 13% Novice 56% Intermediate 31% Advanced,,,http://www.skitenney.com,43°44′16″N 71°47′01″W ﻿ / ﻿ 43.73778°N 71.78361°W ﻿ / 43.73778; -71.78361,North Country Development Group,,Operating (seasonally)
The Balsams Wilderness,New Hampshire,https://en.wikipedia.org/wiki/The_Balsams_Grand_Resort_Hotel,"NH 26 , Coös County, New Hampshire , 10 mi. E of Colebrook",,,,,,,,,44.87056°N 71.30778°W,,,
Waterville Valley Resort,New Hampshire,https://en.wikipedia.org/wiki/Waterville_Valley_Resort,"Waterville Valley , New Hampshire , U.S.","3,840 ft (1,170 m) (lift-served) 3,997 ft (1,218 m) (summit)","1,820 ft (555 m)","2,020 ft (615 m)",265 acres (1.07 km 2 ),62 15% Novice 59% Intermediate 26% Expert,,148 inches (12.3 ft; 3.8 m),https://www.waterville.com/,43°57′55″N 71°31′40″W ﻿ / ﻿ 43.96528°N 71.52778°W ﻿ / 43.96528; -71.52778,,,
Whaleback,New Hampshire,https://en.wikipedia.org/wiki/Whaleback_(ski_area),"Enfield, New Hampshire","1,800 ft (550 m)","1,100 ft (340 m)",700 ft (210 m),85 acres (34 ha),30,,110 inches (280 cm),http://www.whaleback.com/,43.60139°N 72.18139°W,,,
Wildcat Mountain,New Hampshire,https://en.wikipedia.org/wiki/Wildcat_Mountain_Ski_Area,"Pinkham's Grant , New Hampshire United States","4,062 feet (1,238 m)","1,950 feet (590 m)","2,112 feet (644 m)",225 acres (91 ha),49 25% Beginner 45% Intermediate 30% Expert,,200 in (5.1 m),http://www.skiwildcat.com,44°15′47″N 71°14′18″W ﻿ / ﻿ 44.26306°N 71.23833°W ﻿ / 44.26306; -71.23833,Vail Resorts,,Operating
Yawgoo Valley,Rhode Island,https://en.wikipedia.org/wiki/Yawgoo_Valley,"160 Yawgoo Valley Road, Exeter, Rhode Island 02822 U.S.",310 feet,70,,"36 acres (150,000 m 2 )",14,,39 inches annually,https://yawgoo.com/,41.51694°N 71.52944°W,,,
Brownsville,Vermont,"https://en.wikipedia.org/wiki/Brownsville,_Vermont",,,,,,,,,http://www.westwindsorvt.govoffice2.com,43.46861°N 72.47083°W,,,
Bellows Falls,Vermont,"https://en.wikipedia.org/wiki/Bellows_Falls,_Vermont",,,,,,,,,https://www.rockinghamvt.org/,43.13333°N 72.44389°W,,,
Bolton Valley Resort,Vermont,https://en.wikipedia.org/wiki/Bolton_Valley_Resort,"Bolton, Vermont , U.S.","3,150 feet (960 m)","1,446 feet (441 m)","1,625 feet (495 m)",165 acres (0.67 km 2 ),71,,,http://www.boltonvalley.com/,44°25′11″N 72°51′00″W ﻿ / ﻿ 44.419621°N 72.849998°W ﻿ / 44.419621; -72.849998,,,
Bromley Mountain,Vermont,https://en.wikipedia.org/wiki/Bromley_Mountain,"Peru , Vermont , USA","3,284 feet (1,001 m)","1,950 feet (594 m)","1,334 feet (407 m)",178 acres (72 ha),47,,145 in (368.3 cm),,43°13′40″N 72°56′19″W ﻿ / ﻿ 43.22778°N 72.93861°W ﻿ / 43.22778; -72.93861,,,
Burke Mountain,Vermont,https://en.wikipedia.org/wiki/Burke_Mountain_(Vermont),"Northeast Kingdom , Vermont , U.S.",,,,,,,,,44°34.25′N 71°53.59′W ﻿ / ﻿ 44.57083°N 71.89317°W ﻿ / 44.57083; -71.89317,,,
Cochran's Ski Area,Vermont,https://en.wikipedia.org/wiki/Skiing_Cochrans,,,,,,,,,,,,,
Strafford,Vermont,"https://en.wikipedia.org/wiki/Strafford,_Vermont",,,,,,,,,https://www.straffordvt.org/,43.86583°N 72.37722°W,,,
St. Albans,Vermont,"https://en.wikipedia.org/wiki/St._Albans_(town),_Vermont",,,,,,,,,http://www.stalbanstown.com,44.81028°N 73.15222°W,,,
Haystack Mountain,Vermont,https://en.wikipedia.org/wiki/Haystack_Mountain_Ski_Area,"Wilmington , Vermont , US",,,"1,400",,48,,,http://www.hermitageclub.com/,42°55′21″N 72°53′40″W ﻿ / ﻿ 42.9226028°N 72.8945694°W ﻿ / 42.9226028; -72.8945694,,,
Jay Peak Resort,Vermont,https://en.wikipedia.org/wiki/Jay_Peak_Resort,"Jay, Vermont","3,862 feet (1,177 m)","1,815 feet (553 m)","2,153 feet (656 m)",385 acres (1.56 km 2 ),81,,359 inches (911.86 cm); 29.9 feet (9.11 m),http://www.jaypeakresort.com/,44°55′46″N 72°31′56″W ﻿ / ﻿ 44.92944°N 72.53222°W ﻿ / 44.92944; -72.53222,Pacific Group Resorts,,Operating
Killington Ski Resort,Vermont,https://en.wikipedia.org/wiki/Killington_Ski_Resort,"Killington , Vermont , U.S.","4,241 ft (1,293 m) NAVD 88","1,165 ft (355 m) (Skyeship)","3,076 ft (938 m)","1,509 acres (6.1 km 2 )",155 – 28% beginner – 33% intermediate – 39% advanced,,250 inches (640 cm),https://www.killington.com/,43°37′34″N 72°47′53″W ﻿ / ﻿ 43.626°N 72.798°W ﻿ / 43.626; -72.798,Independent,,Operating
Brattleboro,Vermont,"https://en.wikipedia.org/wiki/Brattleboro,_Vermont",,,,,,,,,https://brattleboro.gov/,42.85000°N 72.58222°W,,,
Lyndon,Vermont,"https://en.wikipedia.org/wiki/Lyndon,_Vermont",,,,,,,,,http://www.lyndonvt.org,44.53583°N 72.00528°W,,,
Mad River Glen,Vermont,https://en.wikipedia.org/wiki/Mad_River_Glen,"Fayston , Vermont",3637 ft - (1108 m),1600 ft - (487 m),2037 ft - (621 m),,60,,250 in. - (635 cm),http://www.madriverglen.com,44°12′03″N 72°55′28″W ﻿ / ﻿ 44.20083°N 72.92444°W ﻿ / 44.20083; -72.92444,,,
Magic Mountain,Vermont,"https://en.wikipedia.org/wiki/Magic_Mountain,_Vermont","Londonderry , Windham County , Vermont , United States","2,850 ft (870 m)","1,350 ft (410 m)","1,500 ft (460 m)",205 acres (83 ha),39,,145 inches (12.1 ft; 3.7 m),http://www.magicmtn.com,43°11′34″N 72°45′36″W ﻿ / ﻿ 43.19278°N 72.76000°W ﻿ / 43.19278; -72.76000,,,
Middlebury College Snow Bowl,Vermont,https://en.wikipedia.org/wiki/Middlebury_College_Snow_Bowl,"Hancock , Vermont , US",2720 ft (808 m),1720 ft (488 m),1000 ft (304 m),600 acres (2.4 km 2 ),17,,200 in (510 cm),http://middleburysnowbowl.com,43°56′N 72°58′W ﻿ / ﻿ 43.94°N 72.96°W ﻿ / 43.94; -72.96,,,
Mount Snow,Vermont,https://en.wikipedia.org/wiki/Mount_Snow,"Dover , Windham County , Vermont, USA","3,600 ft (1,100 m)","1,900 ft (580 m)",,601 acres (243 ha),86,,150 inches (380 cm),https://www.mountsnow.com,42°57′32″N 72°55′19″W ﻿ / ﻿ 42.959°N 72.922°W ﻿ / 42.959; -72.922,Vail Resorts,,Operating
Northeast Slopes,Vermont,https://en.wikipedia.org/wiki/Northeast_Slopes,"Corinth , Vermont , USA","1,150 feet (351 m)",810 feet (247 m),340 feet (104 m),35 acres (14 ha),12,,,https://northeastslopes.org,44°4′21″N 72°15′1″W ﻿ / ﻿ 44.07250°N 72.25028°W ﻿ / 44.07250; -72.25028,,,
Okemo Mountain,Vermont,https://en.wikipedia.org/wiki/Okemo_Mountain,"Ludlow Mountain Ludlow, Vermont , U.S.","3,344 feet (1,019 m)","1,134 feet (346 m)","2,200 feet (670 m)",667 acres (270 ha),123,,16.6 feet (5.1 m),http://www.okemo.com/,43°24′5″N 72°43′0″W ﻿ / ﻿ 43.40139°N 72.71667°W ﻿ / 43.40139; -72.71667,Vail Resorts,,Operating
Pico Mountain,Vermont,https://en.wikipedia.org/wiki/Pico_Mountain,"Killington , Vermont , United States","3,967 feet (1,209 m)","2,000 feet (610 m)","1,967 feet (600 m)",468 acres (189 ha),58,,250 inches (640 cm),https://www.picomountain.com/,43.66167°N 72.84250°W,,,
Plymouth Notch,Vermont,https://en.wikipedia.org/wiki/Plymouth_Notch,,,,,,,,,,,,,
Quechee Lakes Ski Area,Vermont,https://en.wikipedia.org/wiki/Quechee_Lakes_Ski_Area,,,,,,,,,,,,,
Saskadena Six,Vermont,https://en.wikipedia.org/wiki/Saskadena_Six,"South Pomfret , Vermont","1,200 feet (370 m)",550 feet (170 m),650 feet (200 m),100 acres (40 ha),28,,110 inches (280 cm),http://saskadenasix.com,43°39′50″N 72°32′40″W ﻿ / ﻿ 43.66389°N 72.54444°W ﻿ / 43.66389; -72.54444,,,
Smugglers' Notch,Vermont,https://en.wikipedia.org/wiki/Smugglers%27_Notch,"Town of Cambridge , near Jeffersonville, Vermont , U.S.","3,640 feet (1,110 m)","1,030 feet (310 m)","2,610 feet (800 m)",,78 19% Easy 50% Intermediate 25% Difficult 6% Extremely difficult,,312 inches (7.9 m),http://www.smuggs.com,44°34′22″N 72°46′34″W ﻿ / ﻿ 44.57278°N 72.77611°W ﻿ / 44.57278; -72.77611,,,
Stowe Mountain Resort,Vermont,https://en.wikipedia.org/wiki/Stowe_Mountain_Resort,"Mount Mansfield Lamoille County Stowe , Vermont United States","3,719 ft (1,134 m)","1,559 ft (475 m)","2,360 ft (719 m)",485 acres (1.96 km 2 ),116 total - 16% - beginner - 55% - intermediate - 30% - advanced/expert,,224 in (570 cm),https://www.stowe.com,44°31′55″N 72°47′15″W ﻿ / ﻿ 44.53194°N 72.78750°W ﻿ / 44.53194; -72.78750,Vail Resorts,,Operating
Stratton Mountain Resort,Vermont,https://en.wikipedia.org/wiki/Stratton_Mountain_Resort,"Stratton Mountain , Windham County , Vermont , United States","3,875 ft (1,181 m)","1,872 ft (571 m)","2,003 ft (611 m)",625 acres (2.53 km 2 ),99,,180 inches (15 ft; 4.6 m),https://www.stratton.com/,43°06′51″N 72°54′24″W ﻿ / ﻿ 43.11417°N 72.90667°W ﻿ / 43.11417; -72.90667,Alterra Mountain Company,,Operating
